full_name,stargazers_count,html_url,forks_count,language,description
Parinya191/miniproject-1,1,https://github.com/Parinya191/miniproject-1,0,C,miniproject ปี 1 โปรแกรมคำนวนอัตราค่าน้ำ
haroldevvv/multi-lex-analyzer,1,https://github.com/haroldevvv/multi-lex-analyzer,0,C,
BeingBeyond/MEgoHand,1,https://github.com/BeingBeyond/MEgoHand,0,,"Webpage for ""MEgoHand: Multimodal Egocentric Hand-Object Interaction Motion Generation"""
tsu2000/stock_lstm,1,https://github.com/tsu2000/stock_lstm,0,Jupyter Notebook,Deep learning pipeline using LSTM networks in PyTorch to classify daily stock price movements.
zhangyugeng/yugengweixin,1,https://github.com/zhangyugeng/yugengweixin,0,,裕庚微信小程序
sumitscript/ViralWhisper,1,https://github.com/sumitscript/ViralWhisper,2,Python,"An AI-powered social engagement tool for solo founders. Fetches posts via keywords, crafts meaningful replies, and subtly promotes your project — all locally using Ollama."
pratham155/damage-image-analyser,1,https://github.com/pratham155/damage-image-analyser,0,JavaScript,
xcdiv/OfficePasswordCrack,1,https://github.com/xcdiv/OfficePasswordCrack,0,C#,"Office 2012 after the file password forgot to load the password dictionary to retrieve the tool, currently only support Excel file password recovery, future versions will gradually increase the function."
ParthVaid02/Pit,1,https://github.com/ParthVaid02/Pit,0,JavaScript,"Pit is a minimal version control system inspired by Git, written in Node.js."
mglavan07/Purdue-ECE264-S25,1,https://github.com/mglavan07/Purdue-ECE264-S25,0,C,Homework and projects for ECE264: Advanced C programming.
lijiapeng365/SmartTTS,1,https://github.com/lijiapeng365/SmartTTS,1,Python,
AkashBommidi27/Sales-Data-Analysis-and-Visualisation,1,https://github.com/AkashBommidi27/Sales-Data-Analysis-and-Visualisation,0,Jupyter Notebook,"This Jupyter Notebook project analyzes supermarket sales data to identify key trends, product performance, and customer behavior. Using Python with Pandas, Matplotlib, and Seaborn, it provides in-depth EDA and visualizations, including sales trends, product line analysis, and customer insights."
MrLimitness/OpenMP_Classify,1,https://github.com/MrLimitness/OpenMP_Classify,0,C,
M-F-Tushar/Introduction-to-CPP-Solutions,1,https://github.com/M-F-Tushar/Introduction-to-CPP-Solutions,0,C++,"This repository contains solved exercises from the book ""Introduction to C++"" by George S. Tselikis.  The solutions are written in standard, readable C++ and organized by chapter for easy reference. Each problem is implemented in its own file, with clear comments and explanations where needed."
heyvanak/new6,1,https://github.com/heyvanak/new6,0,Python,
Abdullahamaniiv/3DBrebesAdventure,1,https://github.com/Abdullahamaniiv/3DBrebesAdventure,0,C#,Progress Game Development
TonnyAxel23/learning-portal,1,https://github.com/TonnyAxel23/learning-portal,0,PHP,
skyworth-web/lux_real_estate,1,https://github.com/skyworth-web/lux_real_estate,0,TypeScript,Modern_Real_Estate
ngduytra/reserved-lottery-ui,1,https://github.com/ngduytra/reserved-lottery-ui,0,,
staticlemon/3ADKdqcdNqs,1,https://github.com/staticlemon/3ADKdqcdNqs,0,,
neverchangebrain/MafiaHub,1,https://github.com/neverchangebrain/MafiaHub,0,,
zbw-zbw/habit-miniprogram,1,https://github.com/zbw-zbw/habit-miniprogram,0,TypeScript,这是一个基于微信小程序平台开发的习惯养成与打卡应用。
sunxy488/sunxy488,1,https://github.com/sunxy488/sunxy488,0,,
hubeiqiao/how_I_use_ai,1,https://github.com/hubeiqiao/how_I_use_ai,0,HTML,
NASS189/Aeropuerto-SUDU,1,https://github.com/NASS189/Aeropuerto-SUDU,0,HTML,
FelipeScabello-dev/FuncoesMatematicas.java,1,https://github.com/FelipeScabello-dev/FuncoesMatematicas.java,0,Java,
FelipeScabello-dev/raioDeUmCirculo.java,1,https://github.com/FelipeScabello-dev/raioDeUmCirculo.java,0,Java,
IvanWeber/povest-o-kapustke,1,https://github.com/IvanWeber/povest-o-kapustke,0,,Повесть в духе Гриммельсгаузена о приключениях Капустки.
f2731/Bossv5,1,https://github.com/f2731/Bossv5,0,JavaScript,
baranazal/TF_TEST_INFRA,1,https://github.com/baranazal/TF_TEST_INFRA,0,HCL,
WalkerWorldPeace/MLLMerging,1,https://github.com/WalkerWorldPeace/MLLMerging,0,Python,"Official implementation of ""Unifying Multimodal Large Language Model Capabilities and Modalities via Model Merging""."
phamducthien4325/btl_cnpm_uet,1,https://github.com/phamducthien4325/btl_cnpm_uet,0,TeX,
perlasaicharanreddy/chatbot,1,https://github.com/perlasaicharanreddy/chatbot,0,Python,"A modern, multi-session AI chatbot built with Streamlit, OpenAI, AWS SageMaker, and advanced RAG (Retrieval-Augmented Generation) techniques. Enjoy a beautiful, intuitive UI, secure authentication, document upload, and smart features like sentiment analysis, web search, and weather info—all in one assistant."
drenepiedra/Github-User-Activity,1,https://github.com/drenepiedra/Github-User-Activity,0,PHP,
Manoj2571/Echo,1,https://github.com/Manoj2571/Echo,0,JavaScript,
Sakshee5/JobApply-MCP-Server,1,https://github.com/Sakshee5/JobApply-MCP-Server,0,,A Model Context Protocol (MCP) server designed to help with job applications by analyzing job postings and optimizing resumes and cover letters.
rcuizon053021/vesta,1,https://github.com/rcuizon053021/vesta,0,Blade,
Kaustubhsutar/PowerBI-HR-Analytics,1,https://github.com/Kaustubhsutar/PowerBI-HR-Analytics,0,,"Insightful HR analytics dashboard built in Power BI to track workforce attendance, hybrid work trends, and leave behavior for strategic decision-making."
Rosh1524/Tableau,1,https://github.com/Rosh1524/Tableau,0,,
Mayank-S1234/DashboardAccount,1,https://github.com/Mayank-S1234/DashboardAccount,0,HTML,
Parthiv-19/Parthiv-19,1,https://github.com/Parthiv-19/Parthiv-19,0,,"Hi, I’m Parthiv — here’s a quick look at my background and experience"
small-bears/order-,1,https://github.com/small-bears/order-,0,,(协同过滤推荐算法)基于SpringBoot Vue网上订餐/点餐系统 (源代码+数据库+配套论文+ppt) java毕业设计，基于微信小程序，基于安卓毕业设计，机器学习，大数据毕业设计，Python+Django+Vue ，php ，node.js ，SpringBoot Vue，SSM，JSP ，Uniapp，hadoop和spark框架，hive框架 角色：管理员、用户、商家  管理员：管理员功能：管理员登录系统后，能对系统首页、用户、商家、菜品分类、菜品信息、优惠券、系统管理、订单管理、我的信息进行操作。  用户：当用户打开系统的网址后，首先看到的就是首页界面。在这里，用户能够看到“伊特”网上订餐系统的导航条显示系统首页、菜品信息、菜品信息、购物车、个人中心 。  
Samsung/T-PerfAnalyzer,1,https://github.com/Samsung/T-PerfAnalyzer,0,,Tizen(tv)-Perf-Analyzer is a VS Code extension designed to analyze the performance of applications on the Tizen platform.
M-F-Tushar/Pandas-Exercises,1,https://github.com/M-F-Tushar/Pandas-Exercises,0,Jupyter Notebook,A collection of hands-on exercises and practice notebooks for learning and mastering data analysis using the pandas library in Python.
Diksha-sing/Wanderlust,1,https://github.com/Diksha-sing/Wanderlust,0,,
alyson-reis/sign-up-list,1,https://github.com/alyson-reis/sign-up-list,0,TypeScript,
aaeekaayyyyyy/Wind_for_public,1,https://github.com/aaeekaayyyyyy/Wind_for_public,0,Python,
JoseAntonioRx7/mini-calculator,1,https://github.com/JoseAntonioRx7/mini-calculator,0,HTML,My first mini calculator with JavaScript and HTML5 + CSS3
Pousset/my-template-firebase-api,1,https://github.com/Pousset/my-template-firebase-api,0,JavaScript,Template easy to use ! Hard to master ! Enjoy :)
DiasPedroQA/HTMLReader,1,https://github.com/DiasPedroQA/HTMLReader,0,,"Um app que pode ler arquivos html provenientes de navegadores, com os links de favoritos salvos por um usuário, para acompanhar sua navegação e obter dados."
seanpm2001/LifeMill_Sousveillance_Docs,1,https://github.com/seanpm2001/LifeMill_Sousveillance_Docs,0,Markdown,"🧬️🪵️📷️📖️ The official documentation source repository for the sousveillance component of LifeMill, enabling sousveillance measures for the purpose of lifelogging."
Hudsonmathew1910/Huddy,1,https://github.com/Hudsonmathew1910/Huddy,0,CSS,Huddy
bseong23/isgream,1,https://github.com/bseong23/isgream,0,TypeScript,SSAFY 공통프로젝트
wvella/thegluecode,1,https://github.com/wvella/thegluecode,0,Dockerfile,Source code for my blog
jgawai016/NewJobPortal,1,https://github.com/jgawai016/NewJobPortal,0,,Full stack Project Online Job Portal
ikhsandwisaputra/chatbot-pyhton-rule-based,1,https://github.com/ikhsandwisaputra/chatbot-pyhton-rule-based,0,Python,
CosmaMattia/CosmaMattia,1,https://github.com/CosmaMattia/CosmaMattia,0,,Config files for my GitHub profile.
Ajith-20051013/Titanleap_Nandifounadtion_Sample_web,1,https://github.com/Ajith-20051013/Titanleap_Nandifounadtion_Sample_web,0,Hack,
nrhdyt3012/myFish,1,https://github.com/nrhdyt3012/myFish,0,Kotlin,MyFish adalah aplikasi untuk melihat ikan ikan yang ada dalam bentuk list dan bisa melakukan searching serta dapat melihat deskripsi atau ciri ciri ikan tersebut.Ini adalah sebagai untuk memenuhi submission Android Jetpack Compose di Dicoding
kaptinlin/messageformat-go,1,https://github.com/kaptinlin/messageformat-go,0,Go,"A complete Go implementation of MessageFormat 2.0 for internationalization, ported from the TypeScript library with full API compatibility."
JuiceRO2k/SmartParking,1,https://github.com/JuiceRO2k/SmartParking,0,C++,A project done in-scope of using C++ OOP logic.
ZhanYiHui06/Sensors,1,https://github.com/ZhanYiHui06/Sensors,0,Python,
ughni/Cuci_Montor-Mobil,1,https://github.com/ughni/Cuci_Montor-Mobil,0,HTML,
HokyoungJung/Market-Cap-Weighted-Indices,1,https://github.com/HokyoungJung/Market-Cap-Weighted-Indices,0,Python,"Stock, Crypto, Commodities Index"
techie0415/Next-MUI-Dashboard,1,https://github.com/techie0415/Next-MUI-Dashboard,0,TypeScript,
DungPham2104/DungPham2104.github.io,1,https://github.com/DungPham2104/DungPham2104.github.io,0,,
amirebog/heranos-Temporary-Voice-bot,1,https://github.com/amirebog/heranos-Temporary-Voice-bot,0,JavaScript,heranos Temporary Voice
GGiolilei/RS,1,https://github.com/GGiolilei/RS,0,Java,
badrNIGHT/hada-9bal-mvc-jdid,1,https://github.com/badrNIGHT/hada-9bal-mvc-jdid,0,,test2
XiaoPeng0x3/gbloom,1,https://github.com/XiaoPeng0x3/gbloom,0,Go,A BloomFilter implemented by Go
soham-tarabada/expense-tracker,1,https://github.com/soham-tarabada/expense-tracker,0,,
ShineTong/MetaSensing,1,https://github.com/ShineTong/MetaSensing,0,MATLAB,Wi-Fi Sensing
Isaac-Laurent/Bank,1,https://github.com/Isaac-Laurent/Bank,0,JavaScript,🪙Simple Blockchain-based banking application. 🏛️
hesreallyhim/terrible-claude-code,1,https://github.com/hesreallyhim/terrible-claude-code,0,,A totally non-curated assemblage of garbage related to Claude Code
Santosh420-cyber/Python-,1,https://github.com/Santosh420-cyber/Python-,0,,
AptS-1547/shortlinker,1,https://github.com/AptS-1547/shortlinker,0,Rust,一个极简主义的短链接服务，支持 HTTP 302 跳转，使用 Rust 编写，部署便捷、响应快速，适用于自建短链系统。
rafakeller/andromeda_front,1,https://github.com/rafakeller/andromeda_front,0,TypeScript,
Aditya051105/TASK-2-DATA-CLEANING-AND-EDA,1,https://github.com/Aditya051105/TASK-2-DATA-CLEANING-AND-EDA,0,Jupyter Notebook,In this task we perform the cleaning and the further EDA . 
MrBips/Kite-AutoBot,1,https://github.com/MrBips/Kite-AutoBot,0,,Complete 10 Stars And I Will Upload kiteAi Testnet Script or get it in discord
engguga/DashboardPro,1,https://github.com/engguga/DashboardPro,0,JavaScript,
Theo-Ginting/Untold-By-Novia-And-Naufal,1,https://github.com/Theo-Ginting/Untold-By-Novia-And-Naufal,0,HTML,
plabon2024/Espresso-Emporium-backend,1,https://github.com/plabon2024/Espresso-Emporium-backend,0,JavaScript,
GUNA4287/my-websites,1,https://github.com/GUNA4287/my-websites,0,HTML,personal
Quaestiox/diag-cmd.nvim,1,https://github.com/Quaestiox/diag-cmd.nvim,0,Lua,a neovim plugin allow you to control diagnosis by command
gedeon-svd/Capteur-de-Vehicule,1,https://github.com/gedeon-svd/Capteur-de-Vehicule,0,,"Le but de ce projet est de concevoir un système simple et efficace permettant de détecter, à l’aide d’un capteur, la présence d’un véhicule.Ce système peut être utilisé pour améliorer le stationnement, renforcer la sécurité routière, ou automatiser des barrières."
shivarajkumbar/SHIVAWEB,1,https://github.com/shivarajkumbar/SHIVAWEB,0,TypeScript,
WhiskyHibiki/PyGameStydies,1,https://github.com/WhiskyHibiki/PyGameStydies,0,,My project where i will learning to basic theme of programming
Yukasezu00/Back-End-Final-Project,1,https://github.com/Yukasezu00/Back-End-Final-Project,0,JavaScript,"Backend API for a booking system built with Node.js, Express, and Prisma."
kullahlupinyj/Avalon-Navigator,1,https://github.com/kullahlupinyj/Avalon-Navigator,0,,
OskySego/portafolio2,1,https://github.com/OskySego/portafolio2,0,CSS,
Imistake101/Matthews-Website,1,https://github.com/Imistake101/Matthews-Website,0,CSS,
raveneullo/Fitness-Website,1,https://github.com/raveneullo/Fitness-Website,0,,
uae0o/unlimted-cve,1,https://github.com/uae0o/unlimted-cve,0,Python,collect cve and exploit
a5adkhann/Node-Express-PR2-202209B2,1,https://github.com/a5adkhann/Node-Express-PR2-202209B2,0,JavaScript,
Muhit10/share_to_native_option,1,https://github.com/Muhit10/share_to_native_option,0,Dart,A Flutter app demonstrating native share functionality
mhweiner/stubfn,1,https://github.com/mhweiner/stubfn,0,TypeScript,"A minimal, zero-dependency stub utility for JavaScript testing. Simple API, predictable behavior, and no magic—perfect for replacing Sinon in modern test setups."
lore-is-already-taken/llm_comparator,1,https://github.com/lore-is-already-taken/llm_comparator,0,Python,
rafakeller/cryptod,1,https://github.com/rafakeller/cryptod,0,,
RitikShahi/SnakeGame,1,https://github.com/RitikShahi/SnakeGame,0,C++,
Farook13/King,1,https://github.com/Farook13/King,0,Python,
kamali732006/starbuck-project,1,https://github.com/kamali732006/starbuck-project,0,HTML,
femibol/tradepulse,1,https://github.com/femibol/tradepulse,0,HTML,
Moritz0409/ClimateEconSoSe25,1,https://github.com/Moritz0409/ClimateEconSoSe25,0,,Natural Capital IAM extension
ALHadi-cpu/Data-Frames-Manipulation,1,https://github.com/ALHadi-cpu/Data-Frames-Manipulation,0,,A repo where i test some python code for data exploiting
small-bears/food,1,https://github.com/small-bears/food,0,,(协同过滤推荐算法)基于SpringBoot Vue美食推荐系统 (源代码+数据库+配套论文+ppt) java毕业设计，基于微信小程序，基于安卓毕业设计，机器学习，大数据毕业设计，Python+Django+Vue ，php ，node.js ，SpringBoot Vue，SSM，JSP ，Uniapp，hadoop和spark框架，hive框架  前台用户 首页、菜谱信息、美食社区、美食资讯、菜谱推荐  个人中心：修改密码、菜谱信息、我的发布、我的收藏
Yfpersistent/Yfpersistent.github.io,1,https://github.com/Yfpersistent/Yfpersistent.github.io,0,HTML,About my information
bhaumikprajapati/Cybersecurity-ElevateLabs,1,https://github.com/bhaumikprajapati/Cybersecurity-ElevateLabs,0,,Repo of my daily tasks as an intern at Elevate Labs.
ScholarChen20/sky-take-out,1,https://github.com/ScholarChen20/sky-take-out,0,JavaScript,黑马程序员最新Java项目实战《苍穹外卖》，最适合新手的SpringBoot+SSM企业级项目实战 相比于瑞吉外卖苍穹外卖的业务更加真实完整，用户端改为微信小程序，登录改为了微信登录，加入了统计报表，来单提醒，客户催单，订单管理等功能，业务实现了闭环。技术选型更加丰富和实用。可以认为是增强版瑞吉外卖
tonlls/fastapi-versioner,1,https://github.com/tonlls/fastapi-versioner,0,Python,
rameshkinjangi/Policy-Bazar,1,https://github.com/rameshkinjangi/Policy-Bazar,0,,
suchitrakumar1/Accessible-Form-UI,1,https://github.com/suchitrakumar1/Accessible-Form-UI,0,HTML,
JosephTS05/JosephTS05,1,https://github.com/JosephTS05/JosephTS05,0,,
halufun/dynamic-android,1,https://github.com/halufun/dynamic-android,0,Kotlin,"An open source, unrestricted dynamic island for android 7+"
NihalSinghrana809/DSA,1,https://github.com/NihalSinghrana809/DSA,0,C++,Complete DSA Series for Placements
NAGESHKATTIMANI/Indian_Air_Quality_DataAnalysis,1,https://github.com/NAGESHKATTIMANI/Indian_Air_Quality_DataAnalysis,0,,
charan381/FAQ_ChatBot,1,https://github.com/charan381/FAQ_ChatBot,0,Python,
NicoandBob/StarChat,1,https://github.com/NicoandBob/StarChat,0,,progettoweb
